product_id,name,category,brand,price,description
1,Apple Football,Sports,Apple,29569,Apple Football in Sports category with premium quality features.
2,Apple Math Book,Books,Apple,3599,Apple Math Book in Books category with premium quality features.
3,Adidas Jacket,Fashion,Adidas,94188,Adidas Jacket in Fashion category with premium quality features.
4,Apple Business Book,Books,Apple,90338,Apple Business Book in Books category with premium quality features.
5,Loreal Smart Watch,Electronics,Loreal,6281,Loreal Smart Watch in Electronics category with premium quality features.
6,Nivea Air Purifier,Home Appliances,Nivea,56939,Nivea Air Purifier in Home Appliances category with premium quality features.
7,Acer Iron,Home Appliances,Acer,3469,Acer Iron in Home Appliances category with premium quality features.
8,Philips Programming Book,Books,Philips,52890,Philips Programming Book in Books category with premium quality features.
9,Mi Earbuds,Electronics,Mi,49359,Mi Earbuds in Electronics category with premium quality features.
10,HP Novel,Books,HP,66248,HP Novel in Books category with premium quality features.
11,Adidas Face Cream,Beauty,Adidas,28817,Adidas Face Cream in Beauty category with premium quality features.
12,Apple Story Book,Books,Apple,26841,Apple Story Book in Books category with premium quality features.
13,Lenovo Smart Watch,Electronics,Lenovo,41707,Lenovo Smart Watch in Electronics category with premium quality features.
14,Himalaya Programming Book,Books,Himalaya,67233,Himalaya Programming Book in Books category with premium quality features.
15,Himalaya Keyboard,Electronics,Himalaya,69044,Himalaya Keyboard in Electronics category with premium quality features.
16,Nivea Keyboard,Electronics,Nivea,49305,Nivea Keyboard in Electronics category with premium quality features.
17,Puma Sunscreen,Beauty,Puma,27320,Puma Sunscreen in Beauty category with premium quality features.
18,Samsung Deodorant,Beauty,Samsung,42983,Samsung Deodorant in Beauty category with premium quality features.
19,Adidas Ceiling Fan,Home Appliances,Adidas,76383,Adidas Ceiling Fan in Home Appliances category with premium quality features.
20,Loreal Hoodie,Fashion,Loreal,29565,Loreal Hoodie in Fashion category with premium quality features.
21,Adidas Refrigerator,Home Appliances,Adidas,66456,Adidas Refrigerator in Home Appliances category with premium quality features.
22,LG Face Wash,Beauty,LG,47673,LG Face Wash in Beauty category with premium quality features.
23,Himalaya AI Book,Books,Himalaya,62421,Himalaya AI Book in Books category with premium quality features.
24,HP Earbuds,Electronics,HP,80697,HP Earbuds in Electronics category with premium quality features.
25,LG Earbuds,Electronics,LG,99824,LG Earbuds in Electronics category with premium quality features.
26,Boat Face Cream,Beauty,Boat,77136,Boat Face Cream in Beauty category with premium quality features.
27,Mi Air Cooler,Home Appliances,Mi,40852,Mi Air Cooler in Home Appliances category with premium quality features.
28,Mi Sneakers,Fashion,Mi,68729,Mi Sneakers in Fashion category with premium quality features.
29,Dell Beard Oil,Beauty,Dell,94267,Dell Beard Oil in Beauty category with premium quality features.
30,Himalaya Beard Oil,Beauty,Himalaya,18237,Himalaya Beard Oil in Beauty category with premium quality features.
31,Puma Sneakers,Fashion,Puma,76300,Puma Sneakers in Fashion category with premium quality features.
32,Apple Watch,Fashion,Apple,95441,Apple Watch in Fashion category with premium quality features.
33,Himalaya Mixer,Home Appliances,Himalaya,94912,Himalaya Mixer in Home Appliances category with premium quality features.
34,OnePlus Basketball,Sports,OnePlus,5730,OnePlus Basketball in Sports category with premium quality features.
35,Nivea Gym Gloves,Sports,Nivea,44795,Nivea Gym Gloves in Sports category with premium quality features.
36,Lenovo Vacuum Cleaner,Home Appliances,Lenovo,81710,Lenovo Vacuum Cleaner in Home Appliances category with premium quality features.
37,Acer Shoes,Fashion,Acer,64744,Acer Shoes in Fashion category with premium quality features.
38,Sony Story Book,Books,Sony,22289,Sony Story Book in Books category with premium quality features.
39,Mi Gym Gloves,Sports,Mi,59394,Mi Gym Gloves in Sports category with premium quality features.
40,Realme Sports Shoes,Sports,Realme,54369,Realme Sports Shoes in Sports category with premium quality features.
41,Nivea Dumbbells,Sports,Nivea,80204,Nivea Dumbbells in Sports category with premium quality features.
42,Samsung Iron,Home Appliances,Samsung,10598,Samsung Iron in Home Appliances category with premium quality features.
43,Realme Exam Guide,Books,Realme,98436,Realme Exam Guide in Books category with premium quality features.
44,Dell Sunglasses,Fashion,Dell,48698,Dell Sunglasses in Fashion category with premium quality features.
45,Himalaya Science Book,Books,Himalaya,59747,Himalaya Science Book in Books category with premium quality features.
46,OnePlus Hoodie,Fashion,OnePlus,13285,OnePlus Hoodie in Fashion category with premium quality features.
47,Nike Face Wash,Beauty,Nike,17834,Nike Face Wash in Beauty category with premium quality features.
48,Apple Sports Shoes,Sports,Apple,71900,Apple Sports Shoes in Sports category with premium quality features.
49,Lenovo Math Book,Books,Lenovo,70669,Lenovo Math Book in Books category with premium quality features.
50,Mi Microwave,Home Appliances,Mi,94714,Mi Microwave in Home Appliances category with premium quality features.
51,Acer Jacket,Fashion,Acer,21359,Acer Jacket in Fashion category with premium quality features.
52,Sony Shampoo,Beauty,Sony,53266,Sony Shampoo in Beauty category with premium quality features.
53,OnePlus Shoes,Fashion,OnePlus,14613,OnePlus Shoes in Fashion category with premium quality features.
54,Himalaya Biography,Books,Himalaya,68432,Himalaya Biography in Books category with premium quality features.
55,Acer Cricket Bat,Sports,Acer,89188,Acer Cricket Bat in Sports category with premium quality features.
56,Philips Smartphone,Electronics,Philips,7630,Philips Smartphone in Electronics category with premium quality features.
57,Himalaya Helmet,Sports,Himalaya,33646,Himalaya Helmet in Sports category with premium quality features.
58,Loreal Deodorant,Beauty,Loreal,15168,Loreal Deodorant in Beauty category with premium quality features.
59,Puma Face Wash,Beauty,Puma,91676,Puma Face Wash in Beauty category with premium quality features.
60,Philips Math Book,Books,Philips,42301,Philips Math Book in Books category with premium quality features.
61,Samsung AI Book,Books,Samsung,97495,Samsung AI Book in Books category with premium quality features.
62,Lenovo Hair Oil,Beauty,Lenovo,72867,Lenovo Hair Oil in Beauty category with premium quality features.
63,OnePlus Power Bank,Electronics,OnePlus,83236,OnePlus Power Bank in Electronics category with premium quality features.
64,Dell Air Cooler,Home Appliances,Dell,22164,Dell Air Cooler in Home Appliances category with premium quality features.
65,Realme Cricket Bat,Sports,Realme,93328,Realme Cricket Bat in Sports category with premium quality features.
66,Samsung Cricket Bat,Sports,Samsung,7930,Samsung Cricket Bat in Sports category with premium quality features.
67,LG Biography,Books,LG,49778,LG Biography in Books category with premium quality features.
68,Nivea Cricket Bat,Sports,Nivea,45693,Nivea Cricket Bat in Sports category with premium quality features.
69,OnePlus Novel,Books,OnePlus,25868,OnePlus Novel in Books category with premium quality features.
70,Acer Cap,Fashion,Acer,66396,Acer Cap in Fashion category with premium quality features.
71,Asus Sunscreen,Beauty,Asus,55861,Asus Sunscreen in Beauty category with premium quality features.
72,Philips Sunglasses,Fashion,Philips,19432,Philips Sunglasses in Fashion category with premium quality features.
73,Samsung Tablet,Electronics,Samsung,2211,Samsung Tablet in Electronics category with premium quality features.
